CUSTOMER_ID,PREDICTED_DATE,PREDICTED_QUANTITY,MAPE,PREDICTION_MODEL,FORECAST_GENERATION_DATETIME
14,2025-09-01,29637641.698863,90.48,ARIMA,2025-06-05 10:43:45
14,2025-10-01,29010206.430169735,90.48,ARIMA,2025-06-05 10:43:45
14,2025-11-01,28572760.52852117,90.48,ARIMA,2025-06-05 10:43:45
14,2025-12-01,28273114.875537258,90.48,ARIMA,2025-06-05 10:43:45
14,2026-01-01,28070320.994,90.48,ARIMA,2025-06-05 10:43:45
14,2026-02-01,27934227.85888576,90.48,ARIMA,2025-06-05 10:43:45
14,2026-03-01,27843444.408362273,90.48,ARIMA,2025-06-05 10:43:45
14,2026-04-01,27783147.614154506,90.48,ARIMA,2025-06-05 10:43:45
14,2026-05-01,27743225.671581645,90.48,ARIMA,2025-06-05 10:43:45
15,2025-06-01,44274952.87636611,78.0,ARIMA,2025-06-05 10:43:45
15,2025-07-01,38331906.09335863,78.0,ARIMA,2025-06-05 10:43:45
15,2025-08-01,34931616.98993427,78.0,ARIMA,2025-06-05 10:43:45
15,2025-09-01,33222254.3680085,78.0,ARIMA,2025-06-05 10:43:45
15,2025-10-01,31988225.493113764,78.0,ARIMA,2025-06-05 10:43:45
15,2025-11-01,31230771.48871363,78.0,ARIMA,2025-06-05 10:43:45
15,2025-12-01,30951144.679406174,78.0,ARIMA,2025-06-05 10:43:45
15,2026-01-01,30802502.418959416,78.0,ARIMA,2025-06-05 10:43:45
15,2026-02-01,39048671.18777657,78.0,ARIMA,2025-06-05 10:43:45
15,2026-03-01,46927245.88127799,78.0,ARIMA,2025-06-05 10:43:45
15,2026-04-01,41218165.144996926,78.0,ARIMA,2025-06-05 10:43:45
15,2026-05-01,37830674.23448425,78.0,ARIMA,2025-06-05 10:43:45
16,2025-06-01,37747445.38508024,35.73,ARIMA,2025-06-05 10:43:45
16,2025-07-01,35804832.70556977,35.73,ARIMA,2025-06-05 10:43:45
16,2025-08-01,34410122.94329788,35.73,ARIMA,2025-06-05 10:43:45
16,2025-09-01,33408783.179847613,35.73,ARIMA,2025-06-05 10:43:45
16,2025-10-01,32689865.632276043,35.73,ARIMA,2025-06-05 10:43:45
16,2025-11-01,32173714.712207254,35.73,ARIMA,2025-06-05 10:43:45
16,2025-12-01,31803141.239369135,35.73,ARIMA,2025-06-05 10:43:45
16,2026-01-01,31537085.918276224,35.73,ARIMA,2025-06-05 10:43:45
16,2026-02-01,31346069.995469537,35.73,ARIMA,2025-06-05 10:43:45
16,2026-03-01,31208929.03314709,35.73,ARIMA,2025-06-05 10:43:45
16,2026-04-01,31110467.903465446,35.73,ARIMA,2025-06-05 10:43:45
16,2026-05-01,31039777.178433266,35.73,ARIMA,2025-06-05 10:43:45
17,2025-06-01,24248295.603691407,69.47,ARIMA,2025-06-05 10:43:45
17,2025-07-01,26586171.044769943,69.47,ARIMA,2025-06-05 10:43:45
17,2025-08-01,27570917.68352793,69.47,ARIMA,2025-06-05 10:43:45
17,2025-09-01,27903622.7204537,69.47,ARIMA,2025-06-05 10:43:45
17,2025-10-01,27979262.15822383,69.47,ARIMA,2025-06-05 10:43:45
17,2025-11-01,27975925.992020085,69.47,ARIMA,2025-06-05 10:43:45
17,2025-12-01,27959033.3445768,69.47,ARIMA,2025-06-05 10:43:45
17,2026-01-01,27946388.793974802,69.47,ARIMA,2025-06-05 10:43:45
17,2026-02-01,27939640.080923714,69.47,ARIMA,2025-06-05 10:43:45
17,2026-03-01,27936722.728845663,69.47,ARIMA,2025-06-05 10:43:45
17,2026-04-01,27935703.61761822,69.47,ARIMA,2025-06-05 10:43:45
17,2026-05-01,27935453.241115406,69.47,ARIMA,2025-06-05 10:43:45
18,2025-06-01,24378909.255268022,1161.96,Prophet,2025-06-05 10:43:45
18,2025-07-01,52331073.12519558,1161.96,Prophet,2025-06-05 10:43:45
18,2025-08-01,29379161.80492565,1161.96,Prophet,2025-06-05 10:43:45
18,2025-09-01,55693294.71638372,1161.96,Prophet,2025-06-05 10:43:45
18,2025-10-01,60498053.159099296,1161.96,Prophet,2025-06-05 10:43:45
18,2025-11-01,3031658.6150912717,1161.96,Prophet,2025-06-05 10:43:45
18,2025-12-01,48890122.700516894,1161.96,Prophet,2025-06-05 10:43:45
18,2026-01-01,24241657.223802164,1161.96,Prophet,2025-06-05 10:43:45
18,2026-02-01,33023198.704239897,1161.96,Prophet,2025-06-05 10:43:45
18,2026-03-01,19074198.433775425,1161.96,Prophet,2025-06-05 10:43:45
18,2026-04-01,22517336.249621503,1161.96,Prophet,2025-06-05 10:43:45
